abdīcō,abdīcere,abdīxī,abdictum,III,,"oppose, refuse, forbid","Pres. Act. Imperatives abdīc, abdīcite"
abeō,abīre,abīvī,abītum,Irregular,Active Only,go away,Alternative third part abiī
abhibeō,abhibēre,abhibuī,abhibitum,II,,keep at a distance,
abiciō,abicere,abiēcī,abiectum,III,,"throw away, give up",
abiūrō,abiūrāre,abiūrāvī,abiūrātum,I,,"deny on oath, swear off",
ablūdō,ablūdere,ablūsī,ablūsum,III,,"be unlike, differ from",
abnegō,abnegāre,abnegāvī,abnegātum,I,,"refuse, decline",
abripiō,abripere,abripuī,abreptum,III-i,,"snatch away, carry off",
abrogō,abrogāre,abrogāvī,abrogātum,I,,"abolish, deprive (of)",
abscīdō,abscīdere,abscīdī,abscīsum,III,,"cut off, amputate",
absolvō,absolvere,absolvī,absolūtum,III,,"release, absolve, acquit",
absum,abesse,āfuī,āfutūrus,Irregular,Active Only,"be away, be absent",
abūtor,abūtī,abūsus sum,,III,Deponent,"use up, waste, misuse",w/ Ablative
accēdō,accēdere,accessī,accessum,III,,"go toward, advance",
accidō,accidere,accidī,,III,Active Only,"fall down, happen (to)",
accīdō,accīdere,accīdī,accīsum,III,,"cut down, destroy",
accipiō,accipere,accēpī,acceptum,III-i,,"receive, accept",
acclāmō,acclāmāre,acclāmāvī,acclāmātum,I,,shout at,
accurrō,accurrere,accurrī,accursum,III,,run toward,
accūsō,accūsāre,accūsāvī,accūsātum,I,,"accuse, blame, charge with a crime",
acquīrō,acquīrere,acquīsīvī,acquīsītum,III,,"acquire, obtain",
addīcō,addīcere,addīxī,addictum,III,,speak in favor,"Pres. Act. Imperatives addīc, addīcite"
addō,addere,addidī,additum,III,,"add, give toward",
addūcō,addūcere,addūxī,adductum,III,,lead toward,
adeō,adīre,adīvī,adītum,Irregular,Active Only,"go toward, approach",Alternative third part adiī
adhibeō,adhibēre,adhibuī,adhibitum,II,,"extend, hold out",
adhortor,adhortārī,adhortātus sum,,I,Deponent,encourage toward a purpose,
adiaceō,adiacēre,adiacuī,adiacitum,II,,lie next to,
adiciō,adicere,adiēcī,adiectum,III,,throw toward,
adiungō,adiungere,adiunxī,adiunctum,III,,"join to, append",
adiūrō,adiūrāre,adiūrāvī,adiūrātum,I,,swear to,
adiuvō,adiuvāre,adiūvī,adiūtum,I,,"help, lend assistance",
admittō,admittere,admīsī,admīssum,III,,"send toward, admit, let in",
admoveō,admovēre,admōvī,admōtum,II,,move toward,
adōrō,adōrāre,adōrāvī,adōrātum,I,,"worship, pray to, adore",
adsum,adesse,adfuī,adfutūrus,Irregular,Active Only,"be near, be present",
adulor,adulārī,adulātus sum,,I,Deponent,"flatter, fawn over",
advehō,advehere,advexī,advectum,III,,bring to,
adveniō,advenīre,advēnī,adventum,IV,,"arrive, approach, come toward",
advertō,advertere,advertī,adversum,III,,turn toward,
advocō,advocāre,advocāvī,advocātum,I,,"call to, invite, summon",
advolō,advolāre,advolāvī,advolātum,I,,fly toward,
advolvō,advolvere,advolvī,advolūtum,III,,roll toward,
aedificō,aedificāre,aedificāvī,aedificātum,I,,build,
afferō,afferre,attulī,allātum,Irregular,,"bring to, carry to",
afficiō,afficere,affēcī,affectum,III-i,,"affect, treat, handle",
aggerō,aggerere,aggessī,aggestum,III,,"bring to, bear",
aggredior,aggredī,aggressus sum,,III-i,Deponent,"step toward, advance, approach",
aggregō,aggregāre,aggregāvī,aggregātum,I,,"crowd together, adhere to",
agitō,agitāre,agitāvī,agitātum,I,,"disturb, drive continually",
agnōscō,agnōscere,agnōvī,agnitum,III,,"recognize, perceive, become acquainted (with)",
agō,agere,ēgī,actum,III,,"do, drive",
allegō,allegere,allēgī,allēctum,III,,"select, recruit",
allevō,allevāre,allevāvī,allevātum,I,,"lift, raise, alleviate",
allocō,allocāre,allocāvī,allocātum,I,,"hire, deploy, allocate",
alloquor,alloquī,allocūtus sum,,III,Deponent,"speak to, address",
allūdō,allūdere,allūsī,allūsum,III,,"frolic, jest",
ambulō,ambulāre,ambulāvī,ambulātum,I,,walk,
āmittō,āmittere,āmīsī,āmissum,III,,"lose, send away",
amō,amāre,amāvī,amātum,I,,love,
āmoveō,āmovēre,āmōvī,āmōtum,II,,move aaway,
annūntiō,annūntiāre,annūntiāvī,annūntiātum,I,,"announce, report",
anteveniō,antevenīre,antevēnī,anteventum,IV,,"come before, anticipate",
antevolō,antevolāre,antevolāvī,,I,Active Only,fly before,
aperiō,aperīre,aperuī,apertum,IV,,open,
appāreō,appārēre,appāruī,appāritum,II,Active Only,"appear, be visible, wait on, serve",
apparō,apparāre,apparāvī,apparātum,I,,"equip, prepare for",
apparō,apparāre,apparāvī,apparātum,I,,"prepare for a purpose, equip",
appellō,appellāre,appellāvī,appellātum,I,,"call, name",
appellō,appellere,appulī,appulsum,III,,"drive toward, push forward",
appetō,appetere,appetīvī,appetītum,III,,"strive for, reach for",
appōnō,appōnere,apposuī,appositum,III,,"appoint, place near",
apportō,apportāre,apportāvī,apportātum,I,,carry toward,
apprecor,apprecārī,apprecātus sum,,I,Deponent,"pray to, beseech",
appropinquō,appropinquāre,appropinquāvī,appropinquātum,I,,"approach, draw near",
appugnō,appugnāre,appugnāvī,appugnātum,I,,"fight against, assault",
apputō,apputāre,apputāvī,apputātum,I,,"evaluate, compare",
arbitror,arbitrārī,arbitrātus sum,,I,Deponent,"think, consider, judge",
arcuō,arcuāre,arcuāvī,arcuātum,I,,"bend in an arc, curve",
ārdeō,ārdēre,ārsī,ārsum,II,,"burn, be on fire",
arrideō,arridēre,arrīsī,arrīsum,II,,"laugh at, smile at, favor",
arripiō,arripere,arripuī,arreptum,III-i,,"seize, snatch, appropriate",
arrogō,arrogāre,arrogāvī,arrogātum,I,,"claim for oneself, assume",
ascrībō,ascrībere,ascrīpsī,ascrīptum,III,,"state in writing, appoint",
aspectō,aspectāre,aspectāvī,aspectātum,I,,"look at, observe, regard",
aspergō,aspergere,aspersī,aspersum,III,,"scatter, strew, sprinkle",
aspīrō,aspīrāre,aspīrāvī,aspīrātum,I,,"breathe upon, aspire (to)",
assentiō,assentīre,assēnsī,assēnsum,IV,,"agree, approve",
assequor,assequī,assecūtus sum,,III,Deponent,"follow, pursue",
asservō,asservāre,asservāvī,asservātum,I,,"watch over, guard",
assideō,assidēre,assēdī,assessum,II,,sit near,
astituō,astituere,astituī,astitūtum,III,,"place, station, set up",
astō,astāre,astitī,,I,,stand near,
astruō,astruere,astrūxī,astrūctum,III,,"build next to, build upon",
attemptō,attemptāre,attemptāvī,attemptātum,I,,"try, strive for",
attestor,attestārī,attestātus sum,,I,Deponent,"bear witness to, corroborate",
attingō,attingere,attigī,attāctum,III,,"come in contact with, touch",
attrahō,attrahere,attrāxī,attractum,III,,"draw toward, attract",
audeō,audēre,ausus sum,,II,Semi-Deponent,"dare, be bold",
audiō,audīre,audīvī,audītum,IV,,"hear, listen to",
auferō,auferre,abstulī,ablātum,Irregular,,"carry away, steal",
aufugiō,aufugere,aufūgī,,III-i,Active Only,"flee, run away",
augeō,augēre,auxī,auctum,II,,"add to, increase",
āvertō,āvertere,āvertī,āversum,III,,"turn away, avoid",
āvocō,āvocāre,āvocāvī,āvocātum,I,,"call away, distract, divert",
bibō,bibere,bibī,bibitum,III,,"drink, imbibe",
blandior,blandīrī,blandītus sum,,IV,Deponent,"fallter, fawn, delude",
cadō,cadere,cecidī,cāsum,III,,"fall, happen",
caedō,caedere,cecīdī,caesum,III,,"cut, strike",
cantō,cantāre,cantāvī,cantātum,I,,"sing, chant",
capiō,capere,cēpī,captum,III-i,,"take, capture",
cēdō,cēdere,cessi,cessum,III,,"yield, go, move",
cēlō,cēlāre,cēlāvī,cēlātum,I,,"hide, conceal",
cēnō,cēnāre,cēnāvī,cēnātum,I,,dine,
cēnseō,cēnsēre,cēnsī,cēnsum,II,,count,
circumiaceō,circumiacēre,circumiacuī,circumiacitum,II,,"lie around, border on",
circumscrībō,circumscrībere,circumscrīpsī,circumscrīptum,III,,"draw a line around, enclose",
circumsedeō,circumsedēre,circumsēdī,circumsessum,II,,"sit around, besiege",
circumspectō,circumspectāre,circumspectāvī,circumspectātum,I,,look around,
circumstō,circumstāre,circumstitī,,I,,"stand around, surround",
circumveniō,circumvenīre,circumvēnī,circumventum,IV,,"surround, circumvent",
circumvolvō,circumvolvere,circumvolvī,circumvolūtum,III,,"roll around, revolve",
clāmō,clāmāre,clāmāvī,clāmātum,I,,"shout, cry out",
clārō,clārāre,clārāvī,clārātum,I,,"make clear, clarify",
claudō,claudere,clausī,clausum,III,,"close, shut",
coeō,coīre,coīvī,coītum,Irregular,Active Only,"assemble, unite, go together",
cōgitō,cōgitāre,cōgitāvī,cōgitātum,I,,"think, ponder",
cognōscō,cognoscere,cognōvī,cognitum,III,,"recognize, learn",
cōgō,cōgere,coēgī,coāctum,III,,"force, compel",
cohortor,cohortārī,cohortātus sum,,I,Deponent,encourage,
collābōrō,collābōrāre,collābōrāvī,collābōrātum,I,,work together,
colligō,colligere,collēgī,collēctum,III,,"gather, bring together",
collocō,collocāre,collocāvī,collocātum,I,,"place together, assemble, set in order",
collūdō,collūdere,collūsī,collūsum,III,,play together,
commaneō,commanēre,commānsī,commānsum,II,,"stay together, stay in one place",
committō,committere,commīsī,commissum,III,,"connect, put together",
commoveō,commovēre,commōvī,commōtum,II,,"move abruptly or profoundly, shake",
commūtō,commūtāre,commūtāvī,commūtātum,I,,"change entirely, transform",
compāreō,compārēre,compāruī,compāritum,II,Active Only,"be apparent, exist",
compellõ,compellere,compulī,compulsum,III,,"push together, compel, urge",
competō,competere,competīvī,competītum,III,,"meet, cooincide",
compleō,complēre,complēvī,complētum,II,,"fill up, complete",
compōnō,compōnere,composuī,compositum,III,,"arrange, organize, put together",
comportō,comportāre,comportāvī,comportātum,I,,"carry, convey, amass",
compugnō,compugnāre,compugnāvī,compugnātum,I,,"fight with, fight alongside",
computō,computāre,computāvī,computātum,I,,"calculate, reckon",
cōncēdō,cōncēdere,cōncessī,cōncessum,III,,"depart, relinquish",
concidō,concidere,concidī,,III,Active Only,"fall down together, collapse",
concīdō,concīdere,concīdī,concīsum,III,,"cut up, cut to pieces",
concipiō,concipere,concēpī,conceptum,III-i,,"catch, grasp, comprehend",
cōnclāmō,cōnclāmāre,cōnclāmāvī,cōnclāmātum,I,,"shout, summon",
cōncurrō,cōncurrere,cōncurrī,cōncursum,III,,"run together, flock, agree (with)",
concutiō,concutere,concussī,concussum,III-i,,"shake violently, agitate",
condō,condere,condidī,conditum,III,,"put together, establish, found",
cōndūcō,cōndūcere,cōndūxī,cōnductum,III,,"lead together, assemble, connect",
cōnferō,cōnferre,cōntulī,cōllātum,Irregular,,"bring together, unite, consult",
conficiō,conficere,confēcī,confectum,III-i,,"accomplish, complete",
cōnfīdō,cōnfīdere,cōnfīsus sum,,III,Semi-Deponent,"be confident, confide in, trust",
conformō,conformāre,conformāvī,conformātum,I,,"form, fashion, outline",
confugiō,confugere,confūgī,confugitum,III-i,,"flee, take refuge",
congerō,congerere,congessī,congestum,III,,"bring together, accumulate, compile",
congredior,congredī,congressus sum,,III-i,Deponent,"meet, engage",
congregō,congregāre,congregāvī,congregātum,I,,"herd together, associate, swarm",
coniciō,conicere,coniēcī,coniectum,III-i,,hurl,
coniciō,conicere,coniēcī,coniectum,III,,"hurl, throw together, contend",
coniungō,coniungere,coniunxī,coniunctum,III,,"join together, yoke together, marry",
coniūrō,coniūrāre,coniūrāvī,coniūrātum,I,,"swear together, unite by oath",
cōnor,cōnārī,cōnātus sum,,I,Deponent,try,
conquīrō,conquīrere,conquīsīvī,conquīsītum,III,,seek out,
conscribō,conscribere,conscrīpsī,conscrīptum,III,,"draft, enlist",
cōnscrībō,cōnscrībere,cōnscrīpsī,cōnscrīptum,III,,"enroll, enlist",
cōnsecō,cōnsecāre,cōnsecāvī,cōnsectum,I,,"cut up, cut to pieces, lop off",
consentiō,consentīre,consēnsī,consēnsum,IV,,"agree, feel the same",
cōnsentiō,cōnsentīre,cōnsēnsī,cōnsēnsum,IV,,"agree, consent (to)",
cōnsequor,cōnsequī,cōnsecūtus sum,,III,Deponent,"follow directly, pursue, ensue",
cōnservō,cōnservāre,cōnservāvī,cōnservātum,I,,"conserve, maintain",
cōnsipiō,cōnsipere,cōnsipuī,,III-i,Active Only,"be sane, be of sound mind",
cōnspiciō,cōnspicere,cōnspēxī,cōnspectum,III-i,,"observe, examine",
cōnspīrō,cōnspīrāre,cōnspīrāvī,cōnspīrātum,I,,"plot, conspire",
constituō,constituere,constituī,constitūtum,III,,"set up, decide, determine",
cōnstō,cōnstāre,cōnstitit,,I,,"stand together, stand still",
cōnstruō,cōnstruere,cōnstrūxī,cōnstrūctum,III,,"pile up, construct",
contestor,contestārī,contestātus sum,,I,Deponent,call to witness,
conticeō,conticēre,conticuī,,II,Active Only,"be silent, be still",
contingō,contingere,contigī,contāctum,III,,"come into contact with, arrive at",
contrādīcō,contrādīcere,contrādīxī,contrādictum,III,,"speak against, oppose, contradict","Pres. Act. Imperatives contrādīc, contrādīcite"
contrahō,contrahere,contrāxī,contractum,III,,"draw together, bring about",
contrāstō,contrāstāre,contrāstāvī,,I,,stand in opposition,
convehō,convehere,convexī,convectum,III,,"carry together, harvest, convey",
conveniō,convenīre,convēnī,conventum,IV,,"gather, come together",
convertō,convertere,convertī,conversum,III,,"turn over, turn back rotate",
convincō,convincere,convīcī,convictum,III,,"conquer, convince, convict",
cōnvocō,cōnvocāre,cōnvocāvī,cōnvocātum,I,,"call together, assemble, convene",
convolvō,convolvere,convolvī,convolūtum,III,,"roll together, wrap",
coquō,coquere,coxī,coctum,III,,cook,
corrideō,corridēre,corrīsī,corrīsum,II,,"laugh together, laugh aloud",
corrigō,corrigere,corrēxī,corrēctum,III,,"correct, set right, straighten",
corripiō,corripere,corripuī,correptum,III-i,,"snatch up, plunder, usurp",
crēdō,crēdere,crēdidī,crēditum,III,,believe,w/ Dative
crēscō,crēscere,crēvī,crētum,III,,grow,
cupiō,cupere,cupīvī,cupītum,III-i,,"want, desire",
cūrō,curāre,cūrāvī,cūrātum,I,,"care, care for",
curro,currere,cucurrī,cursum,III,,run,
custōdiō,custōdīre,custōdīvī,custōdītum,IV,,"supervise, protect",
damnō,damnāre,damnāvī,damnātum,I,,"condemn, find guilty",
dēbeō,dēbēre,dēbuī,dēbitum,II,,"owe, ought",
dēcēdō,dēcēdere,dēcessī,dēcessum,III,,"withdraw, depart, die",
decet,decēre,decuit,,II,Impersonal,"be proper, be appropriate",
dēcidō,dēcidere,dēcidī,,III,Active Only,"fall down, drop off, die",
dēcīdō,dēcīdere,dēcīdī,dēcīsum,III,,"cut away, reduce",
dēcipiō,dēcipere,dēcēpī,dēceptum,III-i,,"deceive, lead astray",
dēclāmō,dēclāmāre,dēclāmāvī,dēclāmātum,I,,"make speeches, speak emphatically",
dēclārō,dēclārāre,dēclārāvī,dēclārātum,I,,"make clear, declare",
dēcrēscō,dēcrēscere,dēcrēvī,dēcrētum,III,,"decrease, dwindle, fade",
dēcurrō,dēcurrere,dēcurrī,dēcursum,III,,"run down, hasten",
dēcutiō,dēcutere,dēcussī,dēcussum,III-i,,"shake off, throw aside",
dēdīcō,dēdīcāre,dēdīcāvī,dēdīcātum,I,,"dedicate, commit to","Pres. Act. Imperatives dēdīc, dēdīcite"
dēdūcō,dēdūcere,dēdūxī,dēductum,III,,"lead downward, lead out, deduct, deduce",
deeō,deīre,deīvī,deītum,Irregular,Active Only,depart,Alternative third part deiī
dēferō,dēferre,dētulī,dēlātum,Irregular,,"carry down, deliver, bring to market",
dēficiō,dēficere,dēfēcī,dēfectum,III-i,,"lack, be lacking",
dēficiō,dēficere,dēfēcī,dēfectum,III-i,,"move away, withdraw, disappoint, be lacking",
dēformō,dēformāre,dēformāvī,dēformātum,I,,"design, disfigure",
dēfugiō,dēfugere,dēfūgī,dēfugitum,III-i,,"flee, escape, avoid",
dēgerō,dēgerere,dēgessī,dēgestum,III,,"carry away, carry off",
dēgredior,dēgredī,dēgressus sum,,III-i,Deponent,"step down, descend",
dēhortor,dēhortārī,dēhortātus sum,,I,Deponent,"dissuade, discourage, deter",
dēiciō,dēicere,dēiēcī,dēiectum,III,,"throw down, drive out",
dēiuvō,dēiuvāre,dēiūvī,dēiūtum,I,,withhold assistance,
dēligō,dēligere,dēlēgī,dēlēctum,III,,"choose, cull",
dēlūdō,dēlūdere,dēlūsī,dēlūsum,III,,"deceive, mock",
dēmittō,dēmittere,dēmīsī,dēmīssum,III,,"send downward, sink",
dēmōnstrō,dēmōnstrāre,dēmōnstrāvī,dēmōnstrātum,I,,"show, prove, draw attention to",
dēmoveō,dēmovēre,dēmōvī,dēmōtum,II,,"move downward, move away, dislodge",
dēmūtō,dēmūtāre,dēmūtāvī,dēmūtātum,I,,"change, alter, become different",
dēnegō,dēnegāre,dēnegāvī,dēnegātum,I,,"deny, reject",
dēnūntiō,dēnūntiāre,dēnūntiāvī,dēnūntiātum,I,,"declare, make an official announcement",
dēpellō,dēpellere,dēpulī,dēpulsum,III,,"drive downward, drive away, expel",
dēpleō,dēplēre,dēplēvī,dēplētum,II,,"empty out, exhaust",
dēpōnō,dēpōnere,dēposuī,dēpositum,III,,"set aside, put away, resign",
dēportō,dēportāre,dēportāvī,dēportātum,I,,"carry downward, banish",
dëprecor,dëprecārī,dëprecātus sum,,I,Deponent,"pray away, pray for",
dēpugnō,dēpugnāre,dēpugnāvī,dēpugnātum,I,,"combat, battle",
dēputō,dēputāre,dēputāvī,dēputātum,I,,"esteem, consider as",
dērideō,dēridēre,dērīsī,dērīsum,II,,"mock, scorn, deride",
dērogō,dērogāre,dērogāvī,dērogātum,I,,"diminish, remove, disparage",
dēscrībō,dēscrībere,dēscrīpsī,dēscrīptum,III,,"write down, draw out, describe",
dēsecō,dēsecāre,dēsecāvī,dēsectum,I,,"sever, mow",
dēsideō,dēsidēre,dēsēdī,dēsessum,II,,"sit down, sit idle, remain sitting",
dēsipiō,dēsipere,dēsipuī,,III-i,Active Only,"act foolish, fool around",
dēspectō,dēspectāre,dēspectāvī,dēspectātum,I,,"look over, look down on, despise",
dēstituō,dēstituere,dēstituī,dēstitūtum,III,,"set in position, abandon, forsake",
dēstruō,dēstruere,dēstrūxī,dēstrūctum,III,,"destroy, demolish",
dētestor,dētestārī,dētestātus sum,,I,Deponent,"curse, detest",
dētrahō,dētrahere,dētrāxī,dētractum,III,,"draw down, divert",
deūtor,deūtī,deūsus sum,,III,Deponent,"misuse, pervert",w/ Ablative
dēveniō,dēvenīre,dēvēnī,dēventum,IV,,"arrive, come from",
dēvincō,dēvincere,dēvīcī,dēvictum,III,,"defeat decisively, subdue",
dēvocō,dēvocāre,dēvocāvī,dēvocātum,I,,call downward,
dēvolō,dēvolāre,dēvolāvī,dēvolātum,I,,"fly downward, fly away",
dēvolvō,dēvolvere,dēvolvī,dēvolūtum,III,,"roll down, tumble down",
dīcō,dīcere,dīxī,dīctum,III,,"say, tell","Pres. Act. Imperatives dīc, dīcite"
differō,differre,distulī,dīlātum,Irregular,,"carry different ways, separate",
diffīdō,diffīdere,diffīsus sum,,III,Semi-Deponent,"distrust, lack confidence",
diffringō,diffringere,diffrēgī,diffrāctum,III,,shatter,
diffugiō,diffugere,diffūgī,diffugitum,III-i,,"scatter, disperse",
dīgredior,dīgredī,dīgressus sum,,III-i,Deponent,"go separate ways, deviate, digress",
dīmittō,dīmittere,dīmīsī,dīmīssum,III,,"send away, dismiss",
dīmoveō,dīmovēre,dīmōvī,dīmōtum,II,,"move apart, disperse",
dīnōscō,dīnōscere,dīnōvī,dīnōtum,III,,"discern, distinguish",
